price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,city,month_sold,age,is_renovated,years_since_reno,total_rooms,living_lot_ratio,has_basement,zipcode
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,Shoreline,5,59,1,9,4.5,0.1693415897889549,0,98133
2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,Seattle,5,93,0,93,7.5,0.4032703568666446,1,98119
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,Kent,5,48,0,48,5.0,0.16153331101439572,0,98042
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,Bellevue,5,51,0,51,5.25,0.24903498941601296,1,98008
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,Redmond,5,38,1,22,6.5,0.18474431006570802,1,98052
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,Seattle,5,76,1,20,3.0,0.13790941858642847,0,98115
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,Redmond,5,38,0,38,4.0,0.5271378367825068,0,98052
482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,Maple Valley,5,25,0,25,6.5,0.07555270567899858,0,98038
452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,North Bend,5,29,0,29,5.5,0.0274802944801927,1,98045
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,Seattle,5,69,1,4,6.0,0.24512175455571683,0,98115
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,Lake Forest Park,5,66,1,20,4.75,0.23357464827209398,0,98155
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,Seattle,5,105,1,26,6.5,0.7298175456135966,1,98105
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,Sammamish,5,34,0,34,4.75,0.15644933861545693,1,98074
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,Seattle,5,59,1,5,4.0,0.16935985083903046,0,98106
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,Seattle,5,75,1,45,7.75,0.30692964877122664,0,98105
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,Kent,5,49,0,49,4.5,0.12344409011418578,0,98042
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,Bellevue,5,58,0,58,4.5,0.23429338904641098,0,98007
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,Auburn,5,17,0,17,7.0,0.430033185840708,0,98092
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,Des Moines,5,27,1,14,4.75,0.23382829834442737,0,98198
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,North Bend,5,31,1,5,4.5,0.11480832846857365,0,98045
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,Seattle,5,91,0,91,4.75,0.21174024009830797,1,98115
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,Bellevue,5,60,1,35,5.0,0.1647540052266788,0,98006
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,Seattle,5,9,0,9,5.25,1.112523839796567,1,98102
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,Bothell,5,23,0,23,6.5,0.22263904746370902,0,98011
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,Seattle,5,55,1,25,5.75,0.2507443974298699,1,98125
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,Federal Way,5,27,0,27,5.5,0.19289340101522842,1,98003
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,Seattle,5,66,0,66,4.75,0.3236423477783873,1,98136
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,Kirkland,5,94,0,94,6.25,0.19553817438449916,1,98033
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,1979,Issaquah,5,35,1,0,7.5,0.04176602141619396,0,98029
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,Seattle,5,63,1,15,5.5,0.5472532098505578,1,98117
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,Kirkland,5,47,0,47,5.75,0.1792897368118607,0,98034
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,Woodinville,5,10,1,11,6.5,0.8547519426180514,1,98072
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,Seattle,5,69,1,4,6.0,0.3639272145570886,1,98115
